[Info]
length_unit = µm
time_unit = µs
fov = 4.0, 4.0
center = (123.0, 456.0)
base_dwell_time = None
total_dwell_time = 25570000.0
number_of_points = 5114
description = an optional description for yourself
time_stamp = 2020-12-07 20:28:44.703210

[Points]
124.00000 458.00000 5000
124.00000 458.00000 5000
124.00000 458.00000 5000
124.00000 458.00000 5000
124.00000 458.00000 5000
125.00000 458.00000 5000
125.00000 458.00000 5000
125.00000 458.00000 5000
125.00000 458.00000 5000
125.00000 458.00000 5000
121.00000 458.00000 5000
121.00100 458.00000 5000
121.00200 458.00000 5000
121.00300 458.00000 5000
121.00400 458.00000 5000
121.00500 458.00000 5000
121.00600 458.00000 5000
121.00700 458.00000 5000
121.00800 458.00000 5000
121.00900 458.00000 5000
121.01000 458.00000 5000
121.01100 458.00000 5000
121.01200 458.00000 5000
121.01300 458.00000 5000
121.01400 458.00000 5000
121.01500 458.00000 5000
121.01600 458.00000 5000
121.01700 458.00000 5000
121.01800 458.00000 5000
121.01900 458.00000 5000
121.02000 458.00000 5000
121.02100 458.00000 5000
121.02200 458.00000 5000
121.02300 458.00000 5000
121.02400 458.00000 5000
121.02500 458.00000 5000
121.02600 458.00000 5000
121.02700 458.00000 5000
121.02800 458.00000 5000
121.02900 458.00000 5000
121.03000 458.00000 5000
121.03100 458.00000 5000
121.03200 458.00000 5000
121.03300 458.00000 5000
121.03400 458.00000 5000
121.03500 458.00000 5000
121.03600 458.00000 5000
121.03700 458.00000 5000
121.03800 458.00000 5000
121.03900 458.00000 5000
121.04000 458.00000 5000
121.04100 458.00000 5000
121.04200 458.00000 5000
121.04300 458.00000 5000
121.04400 458.00000 5000
121.04500 458.00000 5000
121.04600 458.00000 5000
121.04700 458.00000 5000
121.04800 458.00000 5000
121.04900 458.00000 5000
121.05000 458.00000 5000
121.05100 458.00000 5000
121.05200 458.00000 5000
121.05300 458.00000 5000
121.05400 458.00000 5000
121.05500 458.00000 5000
121.05600 458.00000 5000
121.05700 458.00000 5000
121.05800 458.00000 5000
121.05900 458.00000 5000
121.06000 458.00000 5000
121.06100 458.00000 5000
121.06200 458.00000 5000
121.06300 458.00000 5000
121.06400 458.00000 5000
121.06500 458.00000 5000
121.06600 458.00000 5000
121.06700 458.00000 5000
121.06800 458.00000 5000
121.06900 458.00000 5000
121.07000 458.00000 5000
121.07100 458.00000 5000
121.07200 458.00000 5000
121.07300 458.00000 5000
121.07400 458.00000 5000
121.07500 458.00000 5000
121.07600 458.00000 5000
121.07700 458.00000 5000
121.07800 458.00000 5000
121.07900 458.00000 5000
121.08000 458.00000 5000
121.08100 458.00000 5000
121.08200 458.00000 5000
121.08300 458.00000 5000
121.08400 458.00000 5000
121.08500 458.00000 5000
121.08600 458.00000 5000
121.08700 458.00000 5000
121.08800 458.00000 5000
121.08900 458.00000 5000
121.09000 458.00000 5000
121.09100 458.00000 5000
121.09200 458.00000 5000
121.09300 458.00000 5000
121.09400 458.00000 5000
121.09500 458.00000 5000
121.09600 458.00000 5000
121.09700 458.00000 5000
121.09800 458.00000 5000
121.09900 458.00000 5000
121.10000 458.00000 5000
121.10100 458.00000 5000
121.10200 458.00000 5000
121.10300 458.00000 5000
121.10400 458.00000 5000
121.10500 458.00000 5000
121.10600 458.00000 5000
121.10700 458.00000 5000
121.10800 458.00000 5000
121.10900 458.00000 5000
121.11000 458.00000 5000
121.11100 458.00000 5000
121.11200 458.00000 5000
121.11300 458.00000 5000
121.11400 458.00000 5000
121.11500 458.00000 5000
121.11600 458.00000 5000
121.11700 458.00000 5000
121.11800 458.00000 5000
121.11900 458.00000 5000
121.12000 458.00000 5000
121.12100 458.00000 5000
121.12200 458.00000 5000
121.12300 458.00000 5000
121.12400 458.00000 5000
121.12500 458.00000 5000
121.12600 458.00000 5000
121.12700 458.00000 5000
121.12800 458.00000 5000
121.12900 458.00000 5000
121.13000 458.00000 5000
121.13100 458.00000 5000
121.13200 458.00000 5000
121.13300 458.00000 5000
121.13400 458.00000 5000
121.13500 458.00000 5000
121.13600 458.00000 5000
121.13700 458.00000 5000
121.13800 458.00000 5000
121.13900 458.00000 5000
121.14000 458.00000 5000
121.14100 458.00000 5000
121.14200 458.00000 5000
121.14300 458.00000 5000
121.14400 458.00000 5000
121.14500 458.00000 5000
121.14600 458.00000 5000
121.14700 458.00000 5000
121.14800 458.00000 5000
121.14900 458.00000 5000
121.15000 458.00000 5000
121.15100 458.00000 5000
121.15200 458.00000 5000
121.15300 458.00000 5000
121.15400 458.00000 5000
121.15500 458.00000 5000
121.15600 458.00000 5000
121.15700 458.00000 5000
121.15800 458.00000 5000
